resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"amcat-res-amcat_288_logical_resoning","amcat 288 Logical Resoning","/resources/amcat/amcat_288_logical_resoning.pdf",378482,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_300-_english_verbal","amcat 300 English Verbal","/resources/amcat/amcat_300-_english_verbal.pdf",299695,"amcat","Verbal Ability","",30,50,"medium"
"amcat-res-amcat_500-_quant","amcat 500 Quant","/resources/amcat/amcat_500-_quant.pdf",266873,"amcat","Aptitude","",30,50,"medium"
"amcat-res-amcat_aptitude-test-1","AMCAT Aptitude Test 1","/resources/amcat/amcat_aptitude-test-1.pdf",346565,"amcat","Aptitude","",30,50,"medium"
"amcat-res-automata_amcat","AUTOMATA AMCAT","/resources/amcat/automata_amcat.pdf",277427,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_coding_questions","Amcat Coding Questions","/resources/amcat/amcat_coding_questions.pdf",689792,"amcat","DSA","",30,50,"medium"
"amcat-res-amcat_computer_programming","AMCAT Computer Programming","/resources/amcat/amcat_computer_programming.pdf",568942,"amcat","DSA","",30,50,"medium"
"amcat-res-amcat_computer_programming1","AMCAT Computer Programming1","/resources/amcat/amcat_computer_programming1.pdf",560202,"amcat","DSA","",30,50,"medium"
"amcat-res-amcat_eng_ques_paper_without_ans","Amcat eng ques paper without ans","/resources/amcat/amcat_eng_ques_paper_without_ans.pdf",2002847,"amcat","Previous Year Questions","",60,100,"medium"
"amcat-res-amcat_english_paper_without_ans","Amcat english paper without ans","/resources/amcat/amcat_english_paper_without_ans.pdf",2234180,"amcat","Verbal Ability","",60,100,"medium"
"amcat-res-amcat_english-placement-papers-2","AMCAT English Placement Papers 2","/resources/amcat/amcat_english-placement-papers-2.pdf",369048,"amcat","Verbal Ability","",30,50,"medium"
"amcat-res-amcat_english","AMCAT ENGLISH","/resources/amcat/amcat_english.pdf",1271343,"amcat","Verbal Ability","",60,100,"medium"
"amcat-res-amcat_logical","AMCAT Logical","/resources/amcat/amcat_logical.pdf",6017054,"amcat","Previous Year Questions","",120,100,"medium"
"amcat-res-5_6077880573588668788","5_6077880573588668788","/resources/amcat/5_6077880573588668788.pdf",1678884,"amcat","Previous Year Questions","",60,100,"medium"
"amcat-res-5_6077880573588668789","5_6077880573588668789","/resources/amcat/5_6077880573588668789.pdf",2899915,"amcat","Previous Year Questions","",60,100,"medium"
"amcat-res-amcat_previous_year","AMCAT Previous Year","/resources/amcat/amcat_previous_year.pdf",568942,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_previous_years_english_","Amcat Previous Years english","/resources/amcat/amcat_previous_years_english_.pdf",859384,"amcat","Verbal Ability","",30,50,"medium"
"amcat-res-amcat_previous_years_reasoning_","Amcat Previous Years reasoning","/resources/amcat/amcat_previous_years_reasoning_.pdf",685811,"amcat","Aptitude","",30,50,"medium"
"amcat-res-amcat_quants_mygeekmonkey","AMCAT QUANTS MyGeekMonkey","/resources/amcat/amcat_quants_mygeekmonkey.pdf",478038,"amcat","Aptitude","",30,50,"medium"
"amcat-res-amcat_quants-gp","AMCAT QUANTS GP","/resources/amcat/amcat_quants-gp.pdf",653650,"amcat","Aptitude","",30,50,"medium"
"amcat-res-amcat_reasoning-test-placement-papers-1","AMCAT Reasoning Test Placement Papers 1","/resources/amcat/amcat_reasoning-test-placement-papers-1.pdf",377881,"amcat","Aptitude","",30,50,"medium"
"amcat-res-amcat_sample_questions_1_-1","AMCAT Sample Questions 1 1","/resources/amcat/amcat_sample_questions_1_-1.pdf",189713,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat-1","AMCAT 1","/resources/amcat/amcat-1.pdf",345590,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-admit_card","ADMIT CARD","/resources/amcat/admit_card.pdf",312092,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-attention_to_details","Attention to Details","/resources/amcat/attention_to_details.pdf",189300,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-computer_programming","Computer Programming","/resources/amcat/computer_programming.pdf",256236,"amcat","DSA","",30,50,"medium"
"amcat-res-computer_science","computer science","/resources/amcat/computer_science.pdf",185877,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-english","English","/resources/amcat/english.pdf",265754,"amcat","Verbal Ability","",30,50,"medium"
"amcat-res-human_resources","HUMAN RESOURCES","/resources/amcat/human_resources.pdf",187316,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-human_resources_2","HUMAN RESOURCES 2","/resources/amcat/human_resources_2.pdf",187316,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-logical","Logical","/resources/amcat/logical.pdf",224035,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-marketing","MARKETING","/resources/amcat/marketing.pdf",144096,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-personality","personality","/resources/amcat/personality.pdf",118939,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-personality_2","personality 2","/resources/amcat/personality_2.pdf",118939,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-quant","Quant","/resources/amcat/quant.pdf",270176,"amcat","Aptitude","",30,50,"medium"
"amcat-res-quant_2","Quant 2","/resources/amcat/quant_2.pdf",270176,"amcat","Aptitude","",30,50,"medium"
